Algorithm: minimax

Tries	Highest Tile	Score
1	512	7248
2	1024	16120
3	2048	35948
4	2048	35872
5	1024	11508
6	256	3372
7	2048	31556
8	1024	16456
9	2048	27532
10	2048	27908
11	4096	57420
12	1024	12036
13	2048	36252
14	512	7252
15	2048	32884
16	1024	16324
17	2048	34708
18	256	5188
19	512	7940
20	2048	36396
21	2048	26852
22	2048	26796
23	2048	23632
24	4096	55200
25	1024	13024
26	512	6096
27	1024	16180
28	2048	32612
29	512	9768
30	2048	35460
31	1024	12888
32	256	4720
33	1024	17192
34	2048	32264
35	2048	27208
36	2048	28032
37	1024	12356
38	2048	26904
39	2048	32212
40	1024	15656
41	256	3132
42	1024	14744
43	1024	15812
44	1024	12228
45	1024	14148
46	2048	22992
47	1024	17236
48	2048	33928
49	1024	16448
50	2048	36144
51	2048	26092
52	2048	28260
53	2048	36884
54	2048	22712
55	2048	30292
56	2048	36048
57	2048	37528
58	2048	23304
59	2048	31772
60	2048	34620
61	2048	32892
62	1024	19520
63	512	11208
64	1024	18748
65	1024	16024
66	2048	26476
67	1024	21424
68	2048	27144
69	2048	24668
70	1024	12532
71	4096	58784
72	256	3872
73	2048	32612
74	2048	35416
75	2048	27304
76	512	7124
77	2048	21600
78	512	10444
79	1024	18000
80	2048	27488
81	1024	12488
82	1024	16480
83	2048	34400
84	2048	25420
85	2048	34652
86	1024	16288
87	2048	35588
88	2048	33640
89	1024	16680
90	2048	23452
91	2048	21632
92	2048	21748
93	1024	24772
94	2048	27072
95	2048	27912
96	1024	16132
97	1024	14576
98	2048	24888
99	2048	30708
100	1024	12260
101	2048	29112
102	2048	33984
103	1024	16340
104	1024	16356
105	1024	12292
106	2048	34812
107	2048	37024
108	512	7904
109	2048	23368
110	2048	23308
