Algorithm: Minimax
Tries	Highest Tile	Score
1	512	11056
2	512	8724
3	1024	16236
4	1024	16900
5	1024	20200
6	2048	36048
7	2048	27748
8	1024	20148
9	1024	16236
10	1024	16456
11	4096	60484
12	1024	14204
13	2048	35940
14	2048	35368
15	512	8972
16	1024	16356
17	1024	10876
18	512	7148
19	2048	25996
20	1024	12128
21	2048	32164
22	2048	34800
23	1024	24324
24	2048	36544
25	2048	36368
26	1024	16796
27	2048	34776
28	1024	16208
29	4096	54924
30	2048	34696
31	2048	34856
32	2048	32776
33	1024	15476
34	1024	12552
35	2048	26992
36	1024	12272
37	512	7516
38	1024	20056
39	1024	16552
40	1024	17816
41	512	7184
42	2048	23984
43	1024	14492
44	2048	25736
45	1024	16204
46	1024	16904
47	512	11812
48	2048	32100
49	512	9580
50	1024	16972
51	512	10932
52	512	7488
53	1024	13852
54	2048	36388
55	1024	16352
56	2048	34456
57	1024	22584
58	512	7440
59	1024	15520
60	2048	27424
61	2048	34624
62	512	7104
63	512	7072
64	1024	16516
65	1024	16960
66	2048	27984
67	2048	27012
68	2048	36448
69	512	7304
70	256	3464
71	1024	14680
72	2048	32428
73	1024	15456
74	1024	20768
75	1024	16432
76	1024	16468
77	2048	36132
78	1024	12184
79	1024	14100
80	1024	12296
81	2048	35772
82	2048	27172
83	2048	36272
84	512	6392
85	4096	56496
86	1024	16336
87	2048	27016
88	1024	21408
89	512	11100
90	1024	24912
91	2048	30928
92	1024	16500
93	1024	10736
94	1024	16156
95	2048	35600
96	1024	24088
97	2048	25776
98	1024	15332
99	512	7160
100	4096	50172
